"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","biomaterial_provider_ch1","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","disease state:ch1","specimen:ch1"
"GSM359972","OSE_434","GSM359972","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359972/suppl/GSM359972.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359972/suppl/GSM359972.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359973","OSE_541","GSM359973","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359973/suppl/GSM359973.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359973/suppl/GSM359973.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359974","OSE_437","GSM359974","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359974/suppl/GSM359974.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359974/suppl/GSM359974.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359975","OSE_552","GSM359975","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359975/suppl/GSM359975.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359975/suppl/GSM359975.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359976","OSE_440","GSM359976","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359976/suppl/GSM359976.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359976/suppl/GSM359976.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359977","OSE_563","GSM359977","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359977/suppl/GSM359977.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359977/suppl/GSM359977.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359978","OSE_470","GSM359978","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359978/suppl/GSM359978.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359978/suppl/GSM359978.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359979","OSE_567","GSM359979","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359979/suppl/GSM359979.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359979/suppl/GSM359979.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359980","OSE_475","GSM359980","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359980/suppl/GSM359980.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359980/suppl/GSM359980.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359981","OSE_463","GSM359981","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359981/suppl/GSM359981.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359981/suppl/GSM359981.CHP.gz","54675","normal","Ovarian Surface Epithelia"
"GSM359982","OSE_452","GSM359982","Public on Dec 31 2009","Jan 13 2009","Mar 24 2010","RNA","1","Ovarian Surface Epithelia","Homo sapiens","disease state: normal","specimen: Ovarian Surface Epithelia","Ovarian Cancer Institute","Normal ovarian surface epithelial (OSE) cells were collected from ovaries at time of surgery using a Cytobrush ® Plus (Medscand) and immediately stabilized in RNAlater (Ambion) and stored at –20 degrees C.","total RNA","RNA was isolated with Trizol (Invitrogen) and purified with PicoPure RNA Isolation Kit (Arcturus). RNA quality was verified on the Bioanalyzer RNA Pico Chip (Agilent Technologies).","biotin","Affymetrix IVT Labeling Kit","9606","as per manufacturer's protocol","as per manufacturer's protocol","Ovarian surface epithelia brushing from ovaries described by pathology as within normal limits.","MAS 5.0 via Affymetrix Expression Console (TM) Software Version 1.1","GPL570","Nathan,J.,Bowen","nbowen@cau.edu","4048808158","Cancer Development and Evolution","Center for Cancer Research and Therapeutic Development","Clark Atlanta University","223 James P Brawley Drive","Atlanta","GA","30314","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359982/suppl/GSM359982.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM359nnn/GSM359982/suppl/GSM359982.CHP.gz","54675","normal","Ovarian Surface Epithelia"
