logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	DEG_flag
-7.2488380666	6.1149013578	-35.3735092044084	7.6630276447498e-20	8.52909525727915e-16	33.5544546440882	LHX9	TRUE
-9.2887659644	7.7781830628	-35.020950331594	9.37778477985613e-20	8.52909525727915e-16	33.4048931487907	ITLN1	TRUE
-8.0171320264	6.8197923528	-29.6071613037233	2.74049058592622e-18	1.65333361761529e-14	30.783927203267	LHX2	TRUE
-8.4940411578	7.0674376941	-29.1921786190683	3.63569789470103e-18	1.65333361761529e-14	30.5546406675928	ALDH1A2	TRUE
-6.8943051852	6.6410523955	-27.5770739412765	1.13440132375766e-17	4.12695201583037e-14	29.6175898520071	REEP1	TRUE
-6.3085334864	5.867072208	-27.1434749038406	1.55641467679434e-17	4.71853049514816e-14	29.3532690865185	AQP9	TRUE
-7.4461016422	6.8469380829	-24.500882150514	1.1940463389518e-16	3.10281470079046e-13	27.6128666968726	BNC1	TRUE
-6.447362554	7.7954563929	-23.9190022195198	1.92259250985344e-16	4.37149471927925e-13	27.1971643779665	ANXA8L1	TRUE
-5.3252013594	9.6775323453	-22.8044454382269	4.93839888832601e-16	9.98105286429446e-13	26.3647074273375	GSDME	TRUE
-7.0623635462	7.1150818089	-22.2241404499684	8.20956207066289e-16	1.49331934065358e-12	25.911378855501	PDGFD	TRUE
-5.7300181455	5.92612805935	-22.078975364522	9.34050771576478e-16	1.54458032136147e-12	25.7957479109305	PDE7B	TRUE
-6.6750340518	6.1724633071	-21.3402401886604	1.82380887872563e-15	2.7645902920016e-12	25.1929678954843	AOX1	TRUE
-5.0148098039	5.20974031575	-18.589236271455	2.69558243302005e-14	3.7717418812796e-11	22.7161189003346	STK31	TRUE
-4.7556444613	5.81629460965	-18.2023808553659	4.0502780636604e-14	5.26246842699876e-11	22.3352573741679	EMB	TRUE
-4.9476684035	6.01018736265	-17.9076286829187	5.55231656631455e-14	6.69746905231822e-11	22.0391556339796	SLC60A1	TRUE
-4.4678242327	5.69749196535	-17.8527546581414	5.89112176124747e-14	6.69746905231822e-11	21.9834534505023	GHR	TRUE
-6.2312188811	6.86702706395	-17.601118871717	7.74572847167529e-14	7.87274379102244e-11	21.7256604280824	SPOCK1	TRUE
-5.8226024472	6.8003880169	-17.5958524768553	7.79051062333172e-14	7.87274379102244e-11	21.7202234080789	GATA6	TRUE
-7.7605710456	7.8025646552	-17.2095391741737	1.19410813943095e-13	1.1432014240131e-10	21.3166367944299	SFRP1	TRUE
-4.4488713496	7.8579568471	-16.9574378179131	1.58512212542521e-13	1.37846301348406e-10	21.0481058757932	LGALS8	TRUE
-6.9942442191	7.86546883745	-16.9539381263142	1.59140864668308e-13	1.37846301348406e-10	21.0443489019471	NELL2	TRUE
-5.271689839	6.5526217609	-16.6025079621584	2.37680377132844e-13	1.96518457274838e-10	20.6629371072462	CAV2	TRUE
-5.7635063563	8.06150119085	-16.4869998715516	2.7161482628568e-13	2.14811899571153e-10	20.5357567344857	DOCK11	TRUE
-4.8928369179	6.19219546835	-16.3637107060448	3.13478329319943e-13	2.37590450430407e-10	20.3989991263244	TSPAN5	TRUE
3.9124421447	6.58979851575	15.9853714962198	4.89562845527848e-13	3.56205926406062e-10	19.9726975992184	PAX8	TRUE
-5.3962563298	6.3782287075	-15.6320549409449	7.48498971661402e-13	5.23661395943111e-10	19.5653220314286	EPCIP	TRUE
-6.3914440416	6.3767904294	-15.4851455685285	8.95172495543823e-13	5.90961510516083e-10	19.3932289270212	SLC4A4	TRUE
-4.8691092796	5.7749545375	-15.4720127737256	9.09671374076433e-13	5.90961510516083e-10	19.3777662521461	RERG	TRUE
-6.5467893763	6.06165214885	-15.1839940167141	1.29775943308638e-12	8.14008416822112e-10	19.0353613539349	SERTM1	TRUE
-4.1739853124	7.3300618294	-15.0236509104006	1.58553326126204e-12	9.61361667411885e-10	18.8419759028948	DAPK1	TRUE
-7.1252726247	6.50420949445	-14.6308467764192	2.6097654092368e-12	1.52575939792614e-09	18.3596487966256	BCHE	TRUE
-4.2439231842	9.5204686919	-14.6089592064914	2.68412868244292e-12	1.52575939792614e-09	18.3324081627328	PLPP1	TRUE
-4.4494101538	6.6617522249	-14.1887189413731	4.63526259839311e-12	2.51641067929376e-09	17.8017265442099	PROCR	TRUE
-5.1625650512	6.900631099	-14.1776051984294	4.70357136316591e-12	2.51641067929376e-09	17.7874915167544	PRKAR2B	TRUE
5.2283491663	6.62703884865	14.1169525591454	5.09534379370284e-12	2.63982466078822e-09	17.7096197381993	PSAT1	TRUE
-4.4348050577	7.33231294155	-14.0880908189262	5.29359259185911e-12	2.63982466078822e-09	17.672454126942	PAPSS2	TRUE
-4.2916171059	5.25869384775	-14.0773198016639	5.36962685262035e-12	2.63982466078822e-09	17.6585659098826	PTGER3	TRUE
-7.3173100768	7.7821310776	-13.8865549229747	6.92289654111262e-12	3.26814434149204e-09	17.4109370711725	CHRDL1	TRUE
-4.0168973241	4.73347796335	-13.8775396985614	7.00701645509562e-12	3.26814434149204e-09	17.3991564871321	HAND2-AS1	TRUE
-4.6135190253	5.52489734255	-13.7763152687572	8.02823292384086e-12	3.65083892211663e-09	17.2663938685893	ABHD12B	TRUE
-4.8097523025	7.75715342965	-13.6495769709005	9.53016281515525e-12	4.22813808799205e-09	17.0988944342173	MNDA	TRUE
-5.9017254972	6.3623755955	-13.4474184289822	1.25623782212408e-11	5.4407061867707e-09	16.8287471660577	DSC3	TRUE
-5.4173286762	6.0223218268	-13.4065036402986	1.32901512131928e-11	5.50366415909314e-09	16.7736225307533	TMEM255A	TRUE
-4.2133596508	5.3559978363	-13.4052639846988	1.33128764705936e-11	5.50366415909314e-09	16.7719499576648	FRY	TRUE
-3.9818139466	6.1000087309	-13.2383882587355	1.6774920975035e-11	6.7807958341308e-09	16.5455105857541	CAV1	TRUE
-4.2510029832	6.7581094019	-13.2165100549231	1.72940639145827e-11	6.83867440448389e-09	16.5156327711549	PITPNC1	TRUE
